,chembl_id,standardized_smiles,wd_consensus_1,wd_chembl,wd_withdrawn,wd_drugbank,atc_code,name
2108,CHEMBL282052,Cc1ccccc1-n1c(C)nc2ccccc2c1=O,1,1.0,None,1,"N05CM01, N05CX02",METHAQUALONE
2109,CHEMBL1644,CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)c3ccc(O)cc3)C2SC1,0,0.0,None,1,J01DB05,CEFADROXIL
2110,CHEMBL111,Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,1,1.0,1.0,0,A08AX01,RIMONABANT
2111,CHEMBL1500276,CCN(CC)CCOCCOC(=O)C(CC)(CC)c1ccccc1,1,None,1.0,1,R05DB09,OXELADIN
2112,CHEMBL6466,O=c1ccc2ccccc2o1,1,0.0,1.0,None,None,COUMARIN
2113,CHEMBL2105842,CC(=O)OCC(=O)C1(O)C(C)CC2C3C=C(C)C4=Cc5c(cnn5-c5ccccc5)CC4(C)C3C(O)CC21C,0,0.0,None,None,H02AB17,CORTIVAZOL
2114,CHEMBL468,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,1,0.0,1.0,1,L04AX02,THALIDOMIDE
2115,CHEMBL370252,CC1CCc2cc(F)cc3c(=O)c(C(=O)O)cn1c23,1,None,1.0,1,J01MB07,FLUMEQUINE
2116,CHEMBL1184360,CCN(CC)CCOc1ccc2nc(N(C)C)sc2c1,1,1.0,1.0,1,D01AE17,DIAMTHAZOLE
2117,CHEMBL13280,CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21,1,1.0,1.0,0,N05CD03,FLUNITRAZEPAM
2118,CHEMBL2010412,C[n+]1c2cc(N)ccc2cc2ccc(N)cc21,0,0.0,None,None,None,ACRIFLAVINE
2119,CHEMBL2004297,CCN(CC)C(=S)SC(=S)N(CC)CC,0,0.0,None,None,None,SULFIRAM
2120,CHEMBL2104613,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCO)cc1,0,0.0,None,None,None,OCTOXYNOL 9
2121,CHEMBL1024,O=P1(NCCCl)OCCCN1CCCl,0,0.0,None,0,L01AA06,IFOSFAMIDE
2122,CHEMBL1185568,CCN1C(=CC=CC=Cc2sc3ccccc3[n+]2CC)Sc2ccccc21,1,1.0,1.0,vet_approved,None,DITHIAZANINE
2123,CHEMBL1213351,CCC(=O)OC(Cc1ccccc1)(c1ccccc1)C(C)CN(C)C,1,1.0,1.0,1,N02AC04,PROPOXYPHENE
2124,CHEMBL45816,COCC(=O)OC1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2C1C(C)C,1,1.0,None,1,C08CX01,MIBEFRADIL
2125,CHEMBL47,Cc1c(C)c2c(c(C)c1O)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2,1,None,1.0,0,None,VITAMIN E
2126,CHEMBL363295,CC(CC(c1ccccc1)c1ccccc1)NC(C)(C)C,1,1.0,1.0,None,G04BD05,TERODILINE
2127,CHEMBL1589896,Oc1ccc(C(O)CNCCCCCCNCC(O)c2ccc(O)c(O)c2)cc1O,0,None,None,1,"R03AC06, R03CC05",HEXOPRENALINE
2128,CHEMBL1200692,CCCc1nc(C(C)(C)O)c(C(=O)OCc2oc(=O)oc2C)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,0,0.0,None,None,C09CA08,OLMESARTAN MEDOXOMIL
2129,CHEMBL1256841,O=C(CCNNC(=O)c1ccncc1)NCc1ccccc1,1,1.0,1.0,1,N06AF02,NIALAMIDE
2130,CHEMBL776,CC(C)NCC(O)c1cc(O)cc(O)c1,1,0.0,1.0,0,"R03AB03, R03CB03",METAPROTERENOL
2131,CHEMBL2106939,CCCCCCNC(=N)NC(=N)N,0,0.0,None,None,D08AC05,POLIHEXANIDE
2132,CHEMBL85231,CN(C)CC(Oc1ccccc1)Oc1ccccc1,1,None,1.0,0,N06AX13,MEDIFOXAMINE
2133,CHEMBL1697856,CCOc1ccc(NC(=O)CC(C)O)cc1,1,1.0,1.0,1,"N02BE04, N02BE74, N02BE54",BUCETIN
2134,CHEMBL652,O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,0,0.0,None,1,C01BC04,FLECAINIDE
2135,CHEMBL1200647,CC1C=CC=CC=CC=CC=CC=CC=CC(OC2OC(C)C(O)C(N)C2O)CC(O)C(C(=O)O)C(O)CC(=O)CC(O)CC(O)CC(O)CC(=O)CCCC(=O)CC(=O)OC1C(C)CC(C)C(O)CC(=O)c1ccc(N)cc1,0,0.0,None,1,G01AA04,CANDICIDIN
2136,CHEMBL2105002,CC(CC(C#N)(c1ccccc1)C(C)C)N(C)C,0,0.0,None,1,R05DB04,ISOAMINILE
2137,CHEMBL32479,Cc1nnc2n1-c1sc(Br)cc1C(c1ccccc1Cl)=NC2,0,None,None,1,N05CD09,BROTIZOLAM
2138,CHEMBL2110891,CN(C)C(C)(C)COC(=O)C(O)(c1ccccc1)c1ccccc1,1,None,1.0,experimental,None,CHEMBL2110891
2139,CHEMBL1909288,CC(=O)Oc1ccc(C2(c3ccc(OC(C)=O)cc3)C(=O)N(C(C)=O)c3ccccc32)cc1,1,1.0,1.0,None,None,TRIACETYLDIPHENOLISATIN
